Style No,Color,0,2,4,6,8,10,12,14,16,18,20,22,24,Qty,Unit Cost,Total Cost,List At,MSRP,Product Link,Image Link
3760X,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,$30.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/157450775138,https://xscapeevenings.com/cdn/shop/files/3760X_Marine_0647.jpg?v=1744131951&width=2574
,,,,,,,,,,,,,,,,,,,,https://poshmark.com/listing/Xscape-side-Ruffle-Details-Scuba-Crepe-Gown-NWOT-64499b6883cbeccb42d5e7a7,https://xscapeevenings.com/cdn/shop/files/3760X_Marine_0647.jpg?v=1744131951&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/188158394607,https://xscapeevenings.com/cdn/shop/files/3760X_Marine_0647.jpg?v=1744131951&width=2574
,,,,,,,,,,,,,,,,,,,,,
4618X,,,,4,6,,,,,,,,,,,,,,,,
GOLD/SILVER,,,,2,2,,,,,,,,,,4,$30.00,$120.00,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.terrycosta.com/products/xscape-evenings-jill-off-the-shoulder-lace-gown-4618x,https://cdn.shopify.com/s/files/1/0576/1132/1512/files/RBl0qvvhS1dMeY6phncw8MIDya8HDoBM23zf6rYg.png?v=1728515076
,,,,,,,,,,,,,,,,,,,,https://www.belk.com/p/xscape-womens-off-the-shoulder-long-lace-dress/15010614618X.html,
,,,,,,,,,,,,,,,,,,,,https://www.etsy.com/listing/4443019365/nwt-xscape-long-lace-dress-gown-4618x,
,,,,,,,,,,,,,,,,,,,,https://poshmark.com/listing/NWT-Xscape-Womens-Long-OffTheShoulder-Lace-Dress-Gown-4618X-Mulberry-Purple-14-696a1e7028e1e0f565315fb7,
,,,,,,,,,,,,,,,,,,,,https://us.amazon.com/Xscape-Long-Shoulder-Dress-Taupe/dp/B09KTXBL97,
,,,,,,,,,,,,,,,,,,,,https://xscapeevenings.com/products/ginny-soutache-lace-off-the-shoulder-floor-length-dress,https://cdn.shopify.com/s/files/1/0474/2162/0379/files/Active_3.jpg?v=1767730601
,,,,,,,,,,,,,,,,,,,,https://www.macys.com/shop/product/xscape-womens-off-the-shoulder-soutache-lace-gown,
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com.sg/p/Xscape-Womens-Purple-Floral-Lace-Off-The-Shoulder-Gown-Dress-Size-16/8073696049,
,,,,,,,,,,,,,,,,,,,,,
6906X,,,,4,6,8,,,,,,,,,,,,,,,
NAVY,,,,11,7,11,,,,,,,,,29,$30.00,$870.00,,,,
,,,,,,,,,,,,,,,,,,,,,https://jluxlabel.com/cdn/shop/files/PRODUCT-NOV252024-RESTOCKS-28_1.jpg?v=1733874839&width=3000
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.macys.com/shop/product/xscape-womens-applique-one-shoulder-gown,https://xscapeevenings.com/cdn/shop/files/6906X_NavyGunmetal_0013.jpg?v=1738958168&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/157410278022,https://xscapeevenings.com/cdn/shop/files/6906X_NavyGunmetal_0013.jpg?v=1738958168&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.belk.com/p/xscape-womens-long-sleeve-fit-and-flare-applique-gown/15010616465X.html,https://xscapeevenings.com/cdn/shop/files/6906X_NavyGunmetal_0013.jpg?v=1738958168&width=2574
,,,,,,,,,,,,,,,,,,,,https://poshmark.com/listing/NWT-Xscape-appliqu-and-tule-size-6-long-gown-643f44c69464f3ca5c6a69da,https://xscapeevenings.com/cdn/shop/files/6906X_NavyGunmetal_0013.jpg?v=1738958168&width=2574
,,,,,,,,,,,,,,,,,,,,,
6922X,,,,4,6,8,10,,,,,,,,,,,,,,
SAGE/GOLD,,,,12,11,9,7,,,,,,,,39,$30.00,$1170.00,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.terrycosta.com/products/xscape-evenings-print-brocade-dress-6922x,https://cdn.shopify.com/s/files/1/0576/1132/1512/files/SYhZS4smwaW1UvTlHwCISxZ5ZVnXcououg8SqVXU.webp?v=1747261156
,,,,,,,,,,,,,,,,,,,,https://dgfoutlet.com/products/xscape-lace-soutache-dress-msrp-209,https://cdn.shopify.com/s/files/1/0695/9428/4322/files/57_b432b4f2-8f7c-4874-ab60-5005ed847721.jpg?v=1775769053
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/326801459294,
,,,,,,,,,,,,,,,,,,,,https://www.dillards.com/p/xscape-petite-size-sleeveless-halter-soutache-lace-gown/519629355,
,,,,,,,,,,,,,,,,,,,,,
7197X,,,,4,6,8,10,12,14,16,,,,,,,,,,,
BLACK,,,,1,1,1,0,1,0,1,,,,,5,$30.00,$150.00,,,,https://xscapeevenings.com/cdn/shop/files/7197X_Ivory_3197.jpg?v=1765834086&width=2574
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/136878091321,https://xscapeevenings.com/cdn/shop/files/7197X_Ivory_3197.jpg?v=1765834086&width=2574
,,,,,,,,,,,,,,,,,,,,,
7274X,,,,4,6,8,10,12,14,16,,,,,,,,,,,
HUNTER,,,,1,1,0,1,0,1,1,,,,,5,$30.00,$150.00,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/227198203569,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.macys.com/shop/product/xscape-womens-off-the-shoulder-short-sleeve-satin-long-dress,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/397775041559,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.foxliquidation.com/product/ladies-dresses-and-formal-customer-returns-16605245-390-units-ct,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/227278929540,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,,
7274X,,,,4,6,8,10,12,14,16,,,,,,,,,,,
ROSE,,,,1,0,1,2,0,0,1,,,,,5,$30.00,$150.00,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/227198203569,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.macys.com/shop/product/xscape-womens-off-the-shoulder-short-sleeve-satin-long-dress,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/397775041559,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.foxliquidation.com/product/ladies-dresses-and-formal-customer-returns-16605245-390-units-ct,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/227278929540,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,,
7274X,,,,,6,,,,,16,,,,,,,,,,,
WINE,,,,,1,,,,,1,,,,,2,$30.00,$60.00,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/227198203569,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.macys.com/shop/product/xscape-womens-off-the-shoulder-short-sleeve-satin-long-dress,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/397775041559,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.foxliquidation.com/product/ladies-dresses-and-formal-customer-returns-16605245-390-units-ct,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/227278929540,https://xscapeevenings.com/cdn/shop/files/7274X_0021_8.jpg?v=1767981431&width=2574
,,,,,,,,,,,,,,,,,,,,,
7280X,,,,4,6,8,,,,,,,,,,,,,,,
BLACK,,,,1,2,3,,,,,,,,,6,$30.00,$180.00,,,,
,,,,,,,,,,,,,,,,,,,,,https://lanebryant.scene7.com/is/image/lanebryantProdATG/413829_0000118226?$pdpMainImage$
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.dillards.com/p/xscape-ruched-one-shoulder-scuba-gown/520919821,https://xscapeevenings.com/cdn/shop/files/7280X_Black_0018.jpg?v=1759256389&width=2574
,,,,,,,,,,,,,,,,,,,,https://poshmark.com/listing/Xscape-OneShoulder-Scuba-Knit-Gown-in-Wine-683cfd6f49e17b7c8da697ca,https://xscapeevenings.com/cdn/shop/files/7280X_Black_0018.jpg?v=1759256389&width=2574
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/116810034887,https://xscapeevenings.com/cdn/shop/files/7280X_Black_0018.jpg?v=1759256389&width=2574
,,,,,,,,,,,,,,,,,,,,,
7333X,,,,4,6,8,10,12,14,16,,,,,,,,,,,
PINE,,,,1,2,2,5,3,1,2,,,,,16,$30.00,$480.00,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.macys.com/shop/product/xscape-womens-mikado-off-the-shoulder-ruffle-ball-gown,https://n.nordstrommedia.com/it/d35fd0b5-b5da-46ec-b15d-780480d596cb.jpeg?crop=pad&w=780&h=1196
,,,,,,,,,,,,,,,,,,,,https://poshmark.com/listing/Xscape-Off-the-Shoulder-Mikado-Evening-Gown-65bc4ad57f29dd220a26e2b9,https://n.nordstrommedia.com/it/d35fd0b5-b5da-46ec-b15d-780480d596cb.jpeg?crop=pad&w=780&h=1196
,,,,,,,,,,,,,,,,,,,,,
7343X,,,,,6,,,,,16,,,,,,,,,,,
WINE,,,,,1,,,,,1,,,,,2,$30.00,$60.00,,,,
,,,,,,,,,,,,,,,,,,,,,https://teranicouture.com/wp-content/uploads/242M3301-DARK-BLUSH-BACK.webp
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,https://dimg.dillards.com/is/image/DillardsZoom/main/xscape-satin-chiffon-long-sleeve-collar-v-neck-pleated-a-line-dress/00000000_zi_24d16c41-dfde-4968-8405-d5ba56487f7f.jpg
,,,,,,,,,,,,,,,,,,,,,https://dimg.dillards.com/is/image/DillardsZoom/main/xscape-satin-chiffon-long-sleeve-collar-v-neck-pleated-a-line-dress/00000000_zi_24d16c41-dfde-4968-8405-d5ba56487f7f.jpg
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.amazon.com/Xscape-Womens-Satin-Collared-Dress/dp/B0FBPW7W9R,https://dimg.dillards.com/is/image/DillardsZoom/main/xscape-satin-chiffon-long-sleeve-collar-v-neck-pleated-a-line-dress/00000000_zi_24d16c41-dfde-4968-8405-d5ba56487f7f.jpg
,,,,,,,,,,,,,,,,,,,,https://www.macys.com/shop/product/xscape-womens-long-satin-boat-neck-dress,https://dimg.dillards.com/is/image/DillardsZoom/main/xscape-satin-chiffon-long-sleeve-collar-v-neck-pleated-a-line-dress/00000000_zi_24d16c41-dfde-4968-8405-d5ba56487f7f.jpg
,,,,,,,,,,,,,,,,,,,,https://modesens.com/product/xscape-evenings-pleated-satin-long-sleeve-gown-green-124160144,https://dimg.dillards.com/is/image/DillardsZoom/main/xscape-satin-chiffon-long-sleeve-collar-v-neck-pleated-a-line-dress/00000000_zi_24d16c41-dfde-4968-8405-d5ba56487f7f.jpg
,,,,,,,,,,,,,,,,,,,,,
7343X,,,,4,6,8,10,12,,,,,,,,,,,,,
ROSE/GOLD,,,,2,1,3,1,2,,,,,,,9,$30.00,$270.00,,,,
,,,,,,,,,,,,,,,,,,,,,https://teranicouture.com/wp-content/uploads/242M3301-DARK-BLUSH-BACK.webp
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,https://dimg.dillards.com/is/image/DillardsZoom/main/xscape-satin-chiffon-long-sleeve-collar-v-neck-pleated-a-line-dress/00000000_zi_24d16c41-dfde-4968-8405-d5ba56487f7f.jpg
,,,,,,,,,,,,,,,,,,,,,https://dimg.dillards.com/is/image/DillardsZoom/main/xscape-satin-chiffon-long-sleeve-collar-v-neck-pleated-a-line-dress/00000000_zi_24d16c41-dfde-4968-8405-d5ba56487f7f.jpg
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.amazon.com/Xscape-Womens-Satin-Collared-Dress/dp/B0FBPW7W9R,https://dimg.dillards.com/is/image/DillardsZoom/main/xscape-satin-chiffon-long-sleeve-collar-v-neck-pleated-a-line-dress/00000000_zi_24d16c41-dfde-4968-8405-d5ba56487f7f.jpg
,,,,,,,,,,,,,,,,,,,,https://www.macys.com/shop/product/xscape-womens-long-satin-boat-neck-dress,https://dimg.dillards.com/is/image/DillardsZoom/main/xscape-satin-chiffon-long-sleeve-collar-v-neck-pleated-a-line-dress/00000000_zi_24d16c41-dfde-4968-8405-d5ba56487f7f.jpg
,,,,,,,,,,,,,,,,,,,,https://modesens.com/product/xscape-evenings-pleated-satin-long-sleeve-gown-green-124160144,https://dimg.dillards.com/is/image/DillardsZoom/main/xscape-satin-chiffon-long-sleeve-collar-v-neck-pleated-a-line-dress/00000000_zi_24d16c41-dfde-4968-8405-d5ba56487f7f.jpg
,,,,,,,,,,,,,,,,,,,,,
7386X,,,,4,6,8,10,12,14,16,,,,,,,,,,,
NIGHT,,,,1,2,4,4,6,3,1,,,,,21,,,,,,https://cdn.saksfifthavenue.com/is/image/saks/0400022491711_BLACK_A2?wid=600&hei=800&qlt=90&resMode=sharp2&op_usm=0.9%2C1.0%2C8%2C0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.amazon.com/Xscape-Womens-Sleeve-Evening-Sheath/dp/B0DGYN9WMP,
,,,,,,,,,,,,,,,,,,,,https://bobbiandbricka.com/products/xscape-womens-short-sleeve-v-neck-midi-evening-sheath-dress,https://cdn.shopify.com/s/files/1/0256/3653/6392/files/MCY17037275_018378bf-c156-4a83-846a-712617a29f6b.jpg?v=1770778046
,,,,,,,,,,,,,,,,,,,,https://poshmark.com/listing/XSCAPE-Womens-Short-Sleeve-V-Neck-Midi-Evening-Sheath-Dress-665765a7d1af883bd6d86a31,
,,,,,,,,,,,,,,,,,,,,https://www.belk.com/p/xscape-plus-size-short-sleeve-v-neck-ruched-sheath-dress/15010614963XW.html,
,,,,,,,,,,,,,,,,,,,,,
7389X,,,2,4,6,8,10,12,14,,,,,,,,,,,,
BLACK/GOLD,,,2,3,4,3,5,3,2,,,,,,22,$30.00,$660.00,,,,
,,,,,,,,,,,,,,,,,,,,,https://www.abcfashion.net/cdn/shop/files/long-off-shoulder-a-line-satin-dress-by-ladivine-7493-long-formal-dresses-cinderella-divine-491833.jpg?v=1761535077&width=1080
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,https://xscapeevenings.com/cdn/shop/files/7619X_5.jpg?v=1776879366&width=5760
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://www.macys.com/shop/product/xscape-womens-tie-neck-long-dress,
,,,,,,,,,,,,,,,,,,,,https://xscapeevenings.com/products/malia-jersey-knit-chain-embellished-floor-length-dress,https://cdn.shopify.com/s/files/1/0474/2162/0379/files/7389X_Black_Gold_2331.jpg?v=1761752504
,,,,,,,,,,,,,,,,,,,,https://poshmark.com/listing/XSCAPE-Silver-Metallic-Halter-Neck-Gown-With-Chain-Detail-Elegant-Long-Dress-Eve-68759e4e34e253cf3fb93007,
,,,,,,,,,,,,,,,,,,,,,
7451X,,,2,4,6,8,10,12,14,16,,,,,,,,,,,
NIGHT,,,1,0,1,2,0,1,0,1,,,,,6,$30.00,$180.00,,,,
,,,,,,,,,,,,,,,,,,,,,https://ladivine.com/cdn/shop/files/7451-827713.jpg?v=1726703608&width=1366
,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61V4cWDUvmL._AC_UY1000_.jpg
,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61V4cWDUvmL._AC_UY1000_.jpg
,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61V4cWDUvmL._AC_UY1000_.jpg
,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61V4cWDUvmL._AC_UY1000_.jpg
,,,,,,,,,,,,,,,,,,,,,https://xscapeevenings.com/cdn/shop/files/ACTIVE_17.jpg?v=1772810120&width=2314
,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61V4cWDUvmL._AC_UY1000_.jpg
,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61V4cWDUvmL._AC_UY1000_.jpg
